MYRON_COMPANY_CODE,orderno,ORD_REV_GRS_BOOK_W_OV,DATE_ENTERED,MYRON_ACCT,CODE_ENTRY_INITIALS
MY,116769571,252.61,6/30/20,2071363,42421
MY,116775024,252.61,7/1/20,29075498,43574
MY,116782368,252.61,7/2/20,6813329,43988
MY,116782624,252.61,7/2/20,7340363,43574
MY,116618034,252.62,6/4/20,6935639,42799
MY,116623711,252.62,6/5/20,2982239,41210
MY,116677006,252.62,6/17/20,10073071,42708
MY,116774134,252.62,7/1/20,6521963,41258
MY,116670555,253.07,6/16/20,29121546,43721
MY,116760356,253.07,6/29/20,7044391,41247
MY,116636721,253.09,6/9/20,29176680,43932
MY,116625187,253.13,6/5/20,29167169,43771
MY,116688946,253.13,6/18/20,29173810,44017
MY,116708009,253.13,6/23/20,29165436,43984
MY,116708090,253.13,6/23/20,29165436,43984
MY,116753211,253.13,6/29/20,29170109,44016
MY,116768029,253.13,6/30/20,7492247,44010
MY,116775701,253.13,7/1/20,29174018,43932
MY,116784109,253.13,7/3/20,29167596,43820
MY,116621210,253.17,6/5/20,12636882,41100
MY,116637760,253.4,6/9/20,11055175,41225
MY,116617796,253.62,6/4/20,26530990,42980
MY,116617804,253.62,6/4/20,26530990,42980
MY,116630708,253.62,6/8/20,7736862,43430
MY,116642976,253.62,6/10/20,16817971,42434
MY,116643719,253.62,6/10/20,23889601,43678
MY,116644162,253.62,6/10/20,17237610,44010
MY,116647843,253.62,6/11/20,21556940,42155
MY,116648825,253.62,6/11/20,7660906,43099
MY,116650920,253.62,6/11/20,22699171,42155
MY,116651068,253.62,6/11/20,10116869,42078
MY,116665159,253.62,6/15/20,28574708,43857
MY,116671082,253.62,6/16/20,7592523,43857
MY,116688664,253.62,6/18/20,21349193,42434
MY,116692401,253.62,6/19/20,6428521,42155
MY,116761792,253.62,6/30/20,14928860,43453
MY,116717422,253.89,6/23/20,23311540,43721
MY,116764135,253.95,6/30/20,6359511,41132
MY,116625138,254.41,6/5/20,20588079,43456
MY,116685645,254.44,6/18/20,6938819,41210
MY,116632928,254.45,6/8/20,9747080,43591
MY,116714668,254.45,6/23/20,11181733,43194
MY,116756537,254.45,6/29/20,15723918,43984
MY,116774845,254.45,7/1/20,6708050,41210
MY,116777764,254.45,7/1/20,13691353,43671
MY,116640194,254.6,6/9/20,29109359,44022
MY,116712175,254.7,6/23/20,25299856,43937
MY,116712191,254.7,6/23/20,25299856,43937
MY,116629767,254.84,6/8/20,6445815,43558
MY,116742719,254.85,6/26/20,12141313,43591
MY,116641515,254.95,6/10/20,23510838,44018
MY,116695701,254.96,6/19/20,10925335,41225
MY,116720491,255.17,6/24/20,23439272,42980
MY,116669458,255.37,6/16/20,8287338,43591
