MYRON_COMPANY_CODE,MYRON_ACCT,ORDER,ORDER_WEEK,PS_WEEK,orders,bookings,CODE_ORDER_STATUS,DATE_PROMISED_SHIP,PRODUCT_PLATFORM,PRODUCT_PLATFORM_GROUP,YRSTRADED,OPENINGPLATFORM,SEGMENTSHORTDESC,STATUS,SHIPPING_STATE,PSD_TYPE,CODE_ORDER_STATUS2,paymentytype,rddesc,PROD_AVAIL_DATE_ISO,PROMISED_SHIP_DATE_ISO,NonDated_bookings,Non Dated Orders
MY,6051125,115971053,7,27,1,728.35,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NC,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,10073318,115892697,5,27,1,727.65,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14571647,115628109,2,27,1,722.16,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,OK,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14092320,115811721,4,27,1,719.25,IP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,AZ,Fu,IP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7045386,115861403,5,27,1,717.6,PP,7/1/20,WALLC,DATED,8,Wall Cal,Repeat,Active,NJ,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14174851,115708125,3,27,1,716.26,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MD,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,27932127,115638785,2,27,1,715.95,PP,7/1/20,DLOGS,DATED,4,Date Logs,Repeat,Active,NC,Fu,PP,VS,Visa                          ,5/12/20,7/1/20,,0
MY,23740122,115635633,2,27,1,715.95,PP,7/1/20,DLOGS,DATED,6,Date Logs,Repeat,Active,NC,Fu,PP,VS,Visa                          ,5/12/20,7/1/20,,0
MY,8659903,115638439,2,27,1,714.9,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NM,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14366856,115722571,3,27,1,714.27,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,AX,American Express payment      ,5/12/20,7/1/20,,0
MY,6199115,115799769,4,27,1,713.95,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,NY,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6381319,115552499,1,27,1,713.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,SD,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,13299933,115595167,2,27,1,713.57,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,WA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7466900,115931255,6,27,1,713.57,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,TN,Fu,PP,SP,Short Payment                 ,5/12/20,7/1/20,,0
MY,4387577,115891244,5,27,1,712.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,UT,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6565414,115625527,2,27,1,707.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
